Titres opération et projet lauréat,Thématique
Ecoles : Diminuer le bruit dans les cantines EP LANCRY,Education et jeunesse
Rue aux enfants - Rue Général Renault (11e),Cadre de vie
Rue aux enfants - Rue Buzenval 20e,Cadre de vie
Agir en faveur de la vitalité associative des quartiers populaires ! Femmes de la Terre,Solidarités
Agir en faveur de la vitalité associative des quartiers populaires ! Projet de signalétique Porte de Vanves,Solidarités
Agir en faveur de la vitalité associative des quartiers populaires ! Les Petits riens,Solidarités
Agir en faveur de la vitalité associative des quartiers populaires ! Lateulier,Solidarités
Développer l'aide aux personnes en situation de précarité Restaurant Commun l'Oratoire,Solidarités
#SousLesPavésDesFleurs #SousLesPavésDesFleurs / jardinières rue Dalayrac,Environnement
Réaménager les espaces sportifs des jardins du 20e TEP Gare de Charonne,Sport
+ de nature en ville + de nature en ville / Ruchers; appel à projets / Square Louis Majorelle,Environnement
Moderniser l'éclairage sous le pont à la sortie du métro Moderniser l'éclairage sous le pont à la sortie du métro,Cadre de vie
Rampe d'accessibilité à l'église St-Michel-des-Batignolles Rampe d'accessibilité à l'église St-Michel-des-Batignolles,Solidarités
Installer une ferme pédagogique sur le toit-terrasse du collège Flora Tristan Ferme urbaine sur toit,Education et jeunesse
Prévention de la canicule pour les personnes âgées Prévention de la canicule pour les personnes âgées,Solidarités
Du Vert et du Bien-Être sur le parvis  -  Hôtel Beaujon Hôtel Beaujon / Bacs orangeries,Environnement
Des tables de tri des déchets dans les cantines scolaires Des tables de tri des déchets dans les cantines scolaires,Education et jeunesse
Activités sportives urbaines dans le 14e Activités sportives urbaines dans le 14e / Foot à 5 et agrès à Jules Noël,Sport
De nouveaux équipements dans les squares et jardins du 12e De nouveaux équipements dans les squares et jardins du 12e / square Philippe Farine,Cadre de vie
Quartiers populaires : reconquête de la Petite Ceinture La Petite Ceinture dans les quartiers populaires / PC20 Passerelle rue de la Mare,Cadre de vie
Rénovons les terrains de sport du 11e Rénovation du TEP Thiéré,Sport
Du vert à tous les étages Multi équipements Lancry,Environnement
Cultiver dans les écoles Cultiver dans les écoles / Ecole 2/3,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 1/4,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 7/12,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 11/12,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 9/17,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 10/17,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 16/17,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 12/12,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 7/11,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 1/30,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 5/30,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 12/30,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 13/30,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 18/30,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 27/30,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement Embellir les cours des écoles du 18e arrondissement / Ecole 8,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement Embellir les cours des écoles du 18e arrondissement / Ecole 29,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement Embellir les cours des écoles du 18e arrondissement / Ecole 46,Education et jeunesse
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 15,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 46,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 47,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 79,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 84,Propreté
Du matériel de nettoiement silencieux et non polluant Du matériel de nettoiement silencieux et non polluant débroussailleuses électriques 023 17,Propreté
Du matériel de nettoiement silencieux et non polluant Du matériel de nettoiement silencieux et non polluant Tricycles électriques 026 3,Propreté
Pour que toutes les écoles du 18e aient des outils numériques innovants FOYATIER (1) ELEM,Education et jeunesse
Pour que toutes les écoles du 18e aient des outils numériques innovants GUSTAVE ROUANET (1) MAT,Education et jeunesse
Pour que toutes les écoles du 18e aient des outils numériques innovants MAURICE GENEVOIX (3) POLY,Education et jeunesse
Pour que toutes les écoles du 18e aient des outils numériques innovants RUISSEAU (6) MAT,Education et jeunesse
"Aménagement de l'avenue Daumesnil, le long du Viaduc des Arts Viaduc des Arts- équipement ludiques",Cadre de vie
#CoupsDeCulture Bibliothèque François Villon,Culture et patrimoine
De nouveaux espaces ludiques pour les parcs du 19e De nouveaux espaces ludiques pour les parcs du 19e / Réaménager les aires de jeux Fressart et Crimée des Buttes Chaumont,Cadre de vie
Rénover les toilettes : propreté et confort Rénovation les toilettes de l'Ecole élémentaire Glaciere,Education et jeunesse
Plus d'efficacité pour la propreté Une ville plus propre et plus équipée / Achat de petits matériels de propreté  (pour la DPE),Propreté
#TousRécup Frigos solidaires,Solidarités
#ÉcoleDeRêve Cour Oasis - Ecole Levassor,Education et jeunesse
#ÉcoleDeRêve Ecole élémentaire Torcy,Education et jeunesse
#ÉcoleDeRêve Ecole polyvalente Pierre Foncin,Education et jeunesse
#MusiquePourTous #Musiquepourtous Paris Anim',Culture et patrimoine
"Des ""mallettes de jeux "" dans les écoles du XXème Des espaces ludiques dans toutes les écoles du XXème",Education et jeunesse
"Des ""mallettes de jeux "" dans les écoles du XXème Des espaces ludiques dans toutes les écoles du XXème",Education et jeunesse
"Des ""mallettes de jeux "" dans les écoles du XXème Des espaces ludiques dans toutes les écoles du XXème",Education et jeunesse
Equiper les écoles du 14ème en tableaux noirs numériques Equiper les écoles du 14ème-EP de l'Ouest,Education et jeunesse
Des boîtes à jouer et des ludothèques dans les écoles des quartiers populaires La Boîte à Jouer-option jeux d'exterieurs A,Education et jeunesse
Des tables de tri des déchets dans les cantines scolaires Des tables de tri des déchets dans les cantines scolaires,Education et jeunesse
+ de nature en ville + de nature en ville / 14 - Aménagement d'un pollinarium,Environnement
Des chaussées rénovées ! Des chaussées rénovées ! - Boulevard de l'Hôpital,Cadre de vie
Une meilleure cohabitation piétons / automobilistes Pour une meilleure cohabitation piétons/automobilistes. Entrée de l'Avenue d'Ivry en provenance du boulevard Masséna.,Prévention et sécurité
Trier ses déchets au plus près Composteur Jules Verne 11ème,Propreté
#VillePlusPropre Cendriers sondage,Propreté
#VillePlusPropre Cendriers sondage,Propreté
#VillePlusPropre Cendriers sondage,Propreté
+ de nature en ville Cultiver dans la crèche l'Epée des Bois,Environnement
+ de nature en ville Cultiver dans la crèche Tour d'auvergne,Environnement
+ de nature en ville Cultiver dans la crèche Charenton,Environnement
+ de nature en ville Cultiver dans la crèche Dunois,Environnement
+ de nature en ville Cultiver au jardin Italie,Environnement
+ de nature en ville Cultiver dans la crèche Léon Bollée,Environnement
+ de nature en ville Cultiver à la halte-garderie Porte de Vanves / Maurice Nogues,Environnement
+ de nature en ville Cultiver dans la crèche Morillons,Environnement
+ de nature en ville Cultiver dans la crèche Convention,Environnement
+ de nature en ville Cultiver dans la crèche Kosma,Environnement
Agir en faveur de la vitalité associative des quartiers populaires ! Saveurs en partage,Solidarités
Des cheminements piétons sécurisés et accessibles,Cadre de vie
#AlimentationPourTous Emmaüs Défi,Solidarités
Du sport pour toutes et tous dans les quartiers populaires TEP LUQUET,Sport
Des équipements au service de la solidarité et de la citoyenneté Jeu d'échec géant,Solidarités
Cultiver en ville Cultiver en ville / Subvention Elogie Siemp pour l’adaptation du site Parisculteurs 3 Parking Pelleport – Rigoles 20e,Environnement
+ de nature en ville + de nature en ville / 04-Mares et espaces de biodiversité/ Square Georges Cain,Environnement
+ de nature en ville + de nature en ville / 03-Mare Parc André Citroën,Environnement
Trier ses déchets au plus près Composteur collectif,Propreté
Terminer la rénovation des grilles du square du Temple - Elie Wiesel Harmoniser les grilles du square du temple - Elie Wiesel / poursuite de la rénovation des grilles du square,Cadre de vie
"L’escalade à l’école L’escalade à l’école, pour les élèves et leurs parents",Sport
"Insonorisation et embellissement des réfectoires des écoles du 3ème Insonorisation, embellissement réfectoires écoles EM Paul Dubois",Education et jeunesse
Réaménager le local d'activité des personnes âgées du Grand Belleville Rénovation local activités personnes âgées Grand Belleville,Solidarités
Rénovons les équipements sportifs et aquatiques du 12e Piscine Jean Boiteux,Sport
Une voirie pour toutes les mobilités Une voirie pour toutes les mobilités / Rivoli entre Saint Denis et Bourdonnais,Mobilités
Réduire l'empreinte écologique des bâtiments Des kits d'économies d’énergie pour les foyers parisiens,Solidarités
Rénovons les équipements sportifs et aquatiques du 12e Terrains de pétanque Bastille,Sport
"Améliorons l’environnement des usages du Bois de Vincennes F- SUIV 002280 - Améliorons l’environnement des usages du bois de Vincennes / 08 - Rénover les cheminements en broyat, notamment  le long des rivières",Environnement
Une boîte à livres sur l'espace public Boîte à livres Square Claude Bernard,Culture et patrimoine
Des quartiers populaires à énergie positive Action 1 : installation de panneaux solaires - école Maryse Hilsz (20e),Environnement
Des couleurs éclatantes à la Goutte d'Or et à la Chapelle Potelets colorés - la Chapelle,Cadre de vie
De l'art urbain dans le 17e Habillage de potelets rue de saussure,Culture et patrimoine
De l'art urbain dans le 17e Fresque rue Christine Pisan,Culture et patrimoine
Cours d’écoles végétalisées pour grandir ensemble dans le 19e Ecole Compans Brunet,Education et jeunesse
#VilleRefuge Petits déjeuners Porte de la Chapelle,Solidarités
Des cours embellies et équipées pour les élèves du 11e Collège A. Franck,Education et jeunesse
#ÉcoleDeRêve Expérimentation qualité de l'air - Ecole Claude Vellefaux,Education et jeunesse
Des tableaux interactifs pour des écoles de l'arrondissement Tableaux interactifs pour l'école polyvalente,Education et jeunesse
Des sanitaires neufs pour toutes nos écoles Des toilettes neuves pour toutes les écoles EE Ourcq A,Education et jeunesse
Espaces ludiques dans les écoles du 16e Espaces Ludiques dans les écoles du 16e,Education et jeunesse
"Des ordinateurs pour les écoles du 12eme Des ordis, pas des tablettes, pour les écoles du 12eme",Education et jeunesse
Embellir les écoles Equipement de jeux de cour dans les cours d'école,Education et jeunesse
Embellir les écoles Equipement de jeux de cour dans les cours d'école,Education et jeunesse
Embellir les écoles Equipement de jeux de cour dans les cours d'école,Education et jeunesse
"Des ordinateurs pour les écoles du 12eme Des ordis, pas des tablettes, pour les écoles du 12eme",Education et jeunesse
+ de commerces dans les quartiers populaires SAFIA GOLDEN FRIED CHICKEN,Attractivité et emploi
La Ressourcerie Mobile Ressourcerie hors les murs de la ressourcerie des Batignolles,Environnement
La Ressourcerie Mobile Densification des points Amistocks du 17e par Emmaüs Défi,Environnement
+ de commerces dans les quartiers populaires M OPTIC,Attractivité et emploi
+ de commerces dans les quartiers populaires ALIMENTATION GENERALE,Attractivité et emploi
+ de commerces dans les quartiers populaires LE CURIAL,Attractivité et emploi
Espaces ludiques dans les écoles du 16e Espaces Ludiques dans les écoles du 16e,Education et jeunesse
De nouvelles rues intelligentes dans le 15e De nouvelles rues intelligentes dans le 15e - marquage Flowell,Environnement
Du sport pour toutes et tous dans les quartiers populaires Couverture du TEP Dunois,Sport
Ecoles : Diminuer le bruit dans les cantines EM BOY ZELENSKI,Education et jeunesse
"Des ordinateurs pour les écoles du 12eme Des ordis, pas des tablettes, pour les écoles du 12eme",Education et jeunesse
Installation de tables de tri sélectif des déchets dans les réfectoires des cantines scolaires Installation de tables de tri sélectif des déchets dans les réfectoires des cantines scolaires,Environnement
Du sport pour toutes et tous dans les quartiers populaires Basket 3*3 au TEP Serrurier,Sport
Des cours d’écoles et espaces de jeux plus inclusifs et interactifs Des cours pour vivre ensemble - EM Carnot,Education et jeunesse
"Pour toutes et tous, une alimentation collective et saine Un véhicule frigorifique pour l'epicerie sociale solidaya",Solidarités
Des rues apaisées Réfection - rue des Pyrénées,Cadre de vie
De la diversité commerciale et artisanale dans nos quartiers Revitalisation commerciale du boulevard de Strasbourg et son quartier,Attractivité et emploi
"Favoriser l’économie sociale, solidaire et circulaire Création d'une bibliothèque d'objets en réseau dans le 11e par l'association Zézenne",Solidarités
Améliorer la qualité de vie dans les écoles du 5e Collège R. Queneau - Rénovation de la cour,Education et jeunesse
Nos espaces verts évoluent ! 02 - Eclairage public à détecteur de mouvement,Environnement
Amener la nature dans le 12e arrondissement 02 - Cultures sur la terrasse du bâtiment du 100 Établissement Culturel Solidaire,Environnement
Mieux grandir dans le 19e EM Archereau - Rénovation des sanitaires,Education et jeunesse
Des lieux solidaires et culturels dans les quartiers populaires Kiosque à musique sur le mail Binet,Solidarités
Des Tableaux Numériques Interactifs dans toutes les classes EE Bruxelles,Education et jeunesse
Des Tableaux Numériques Interactifs dans toutes les classes EM de la Grange Batelière,Education et jeunesse
Bien grandir dans le 11e Des outils numériques dans les écoles primaires du 11 / EE Froment,Education et jeunesse
Bien grandir dans le 11e Des outils numériques dans les écoles primaires du 11 / EE G. Cavaignac,Education et jeunesse
Réaménager des établissements culturels ouverts à la jeunesse La Médiathèque Musicale de Paris de demain,Culture et patrimoine
Construire des cours Oasis pour nos écoles Des cours oasis- EE Bercy,Education et jeunesse
Climat : de l'ombre pour nos écoliers EM Legouvé,Education et jeunesse
Des couleurs éclatantes à la Goutte d'Or et à la Chapelle TEP de la Goutte d'or des couleurs vives - Goutte d'Or,Cadre de vie
Une voirie pour toutes les mobilités Bornes rétractables,Mobilités
Des ordinateurs pour les écoles du 12eme EM Traversière,Education et jeunesse
Réaménagement des espaces dédiés à la jeunesse Réinventons la cantine des Ecoles Eblé et Duquesne,Education et jeunesse
Equiper les associations d'alimentation durable Un camion pour Les Marmoulins de Ménil’,Solidarités
Destination 2024 : le 19e à l'heure du sport Rénover le gymnase Jean Jaurès,Sport
Protéger les piétons et réduire les nuisances sonores Ilôt piéton Bd Haussmann,Prévention et sécurité
Un espace public pacifié et adapté à tous Implantation d’arceaux pour le stationnement des vélos-cargos et triporteurs.,Cadre de vie
Végétaliser et améliorer les lieux publics dans les quartiers Rendre la place passage Championnet plus accueillante / végétalisation en pot,Cadre de vie
"Fontaines et piscine, plus de fraîcheur dans le 5e 02 - Fontaines Wallace et brumisateurs",Cadre de vie
Soutenons le dynamisme associatif et solidaire de nos quartiers Vestiaire solidaire,Solidarités
Agrandir le jardin du Chalet et favoriser la biodiversité Des aménagements pour le jardin du Chalet,Environnement
Préau neuf pour les élèves de l'école Kellner Ecole Kellner - Rénovation du Préau,Education et jeunesse
Créer une bibliothèque à l'école maternelle du Parc des Princes Création d'une bibliothèque d'école à la Maternelle du Parc des Princes,Education et jeunesse
La balle est dans votre camp pour moderniser le Gymnase Didot ! Couverture du city stade Didot,Sport
"Façade verte, boîte à livres, meubles recyclés Bibliothèque Maurice Genevoix",Culture et patrimoine
Mesurer la pollution sonore du quartier des Porte Saint Denis/Paradis Etude diagnostic acoustique du quartier Porte Saint-Denis/Paradis,Santé
"Basket, tennis, jouons par tous les temps Couverture du TEP Croix Nivert",Sport
Solutions de stockage et de convivialité pour les assos sportives Club house à Max Rousié,Sport
Profiter des squares et de la Nature dans le 11e 01-Repenser le square Louis Majorelle,Environnement
Equiper les écoles des quartiers populaires Des espaces de jeux inclusifs pour l'EM A.Del Sartre,Education et jeunesse
Un 11e solidaire et attractif Des quartiers handi-accueillants / Sonorisation des traversées piétonnes,Solidarités
Equiper les écoles des quartiers populaires rénovation réfectoire de l'EM du Mont Cenis,Education et jeunesse
Des espaces à jouer pour nos enfants et des jardins plus agréables à vivre 08-Végétalisation du passage de Thionville,Cadre de vie
Équiper des crèches dans le 20e Crèche municipale Mendelssohn,Education et jeunesse
Favoriser le sport de plein-air Amélioration des agrès Bartholomé,Sport
#RefabriquonsÀParis Arès Atelier - Réaménager l'entrepôt logistique pour y développer les prestations d’économie circulaire et accueillir nouveaux publics,Attractivité et emploi
Sécuriser les traversées piétonnes rue de Courcelles Sécurisation des traversées piétonnes rue de Courcelles,Mobilités
De nouveaux espaces de sports et de loisirs Gymnase Archereau,Education et jeunesse
Toujours plus de sport dans le 13e salle de tennis de table : un nouveau filet de séparation,Sport
Promouvoir l’économie circulaire et la réduction des déchets Pour la cyclo-logistique des bio-déchets et du compost,Environnement
Rénover les écoles du 20e Rénover les écoles du 20e / EE Riblette - Sanitaires,Education et jeunesse
Créer des jeux gratuits et en plein air pour les enfants 02-Aires de jeux extraordinaires pour les enfants Parisiens,Education et jeunesse
Du street-art aux couleurs de nos quartiers Fresques collaboratives,Culture et patrimoine
Initiatives sociales et solidaires des quartiers populaires Aménager la Grande Conserverie de Paris Conserverie d'insertion antigaspillage et solidaire,Solidarités
"Des bâtiments, des toits, des Bois adaptés au dérèglement climatique Lutter contre le réchauffement climatique - Des toits blancs à Paris",Environnement
Création d'un jardin partagé dans le quartier des Hauts de Malesherbes Création d'un jardin partagé dans le quartier des Hauts de Malesherbes,Cadre de vie
Piétonnisation de la rue Saint-Jean Piétonnisation de la rue Saint-Jean,Prévention et sécurité
Refuges piétons avenue de Villiers et boulevard de Courcelles Refuges piétons avenue de Villiers et boulevard de Courcelles,Prévention et sécurité
Fermeture à la circulation rue des Coutures-Saint-Gervais Fermeture à la circulation rue des Coutures-Saint-Gervais,Cadre de vie
Jardin partagé dans le quartier de l'Horloge Jardin partagé dans le quartier de l'Horloge,Cadre de vie
Faciliter les déplacements piétons rue de la Folie-Méricourt Faciliter les déplacements piétons rue de la Folie-Méricourt,Cadre de vie
Rénover le quartier Amiraux - Simplon - Poissonniers Rénover le quartier Amiraux - Simplon - Poissonniers,Cadre de vie
Création d'une zone de rencontre et végétalisation de la rue des Envierges Création d'une zone de rencontre et végétalisation de la rue des Envierges,Cadre de vie
Des fontaines à boire dans tout Paris Des fontaines à boire dans tout Paris,Cadre de vie
Reconquête urbaine Reconquête urbaine / Porte de la Villette,Cadre de vie
"Aménagement des trottoirs, rue des Dames Aménagement trottoirs, rue des Batignolles (pair) et rue des Dames (pair)",Prévention et sécurité
Une halle alimentaire solidaire pour le 14e Une super halle alimentaire dans le 14 ème,Solidarités
Du vert à Mouffetard : végétalisation du square Vermenouze sous réserve de l'obtention d'un permis de végétaliser Du vert à Mouffetard : végétalisation du Square Vermenouze,Cadre de vie
Espaces de travail publics Espaces de travail publics - Onzième Lieu,Education et jeunesse
Relier les parcs André Citroën et Georges Brassens à vélo Relier les parcs André Citroën et Georges Brassens à vélo,Mobilités
Conquête végétale du 10ème arrondissement Conquête végétale du 10ème arrondissement / Planter des roses trémières sur les 3 voutes enjambant les voies ferrées de la gare de l’Est,Environnement
Embellir et redonner couleurs et vie au Bas Belleville Embellir et redonner couleurs et vie au Bas Belleville,Cadre de vie
"Pour un arrondissement « treize accessible » aux personnes en situation de handicap, à mobilité réduite Pour un arrondissement « treize » accessible aux personnes handicapées, à mobilité réduite",Mobilités
Aménager des places et placettes dans l’arrondissement Aménagement de la placette Garonne-Mille-Tailleferre,Cadre de vie
+ de végétal dans les quartiers populaires Square Saint-Eloi,Environnement
+ de nature en ville + de nature en ville / 04-Mares et espaces de biodiversité,Environnement
Du vert à tous les étages Bureau DJS - toit 2- 25 boulevard Bourdon 4e,Environnement
Du vert à tous les étages TEP et EM Philippe-Auguste - Alexandre Dumas -toit 1 - 68 avenue Philippe Auguste - 39 rue Alexandre Dumas 11e,Environnement
"Du vert à tous les étages CS Jules Noel - toit 2 - 3,avenue Maurice d'Ocagne 14e",Environnement
Du vert à tous les étages Ecole polyvalente Gros -18 rue Gros 16e,Environnement
"Des kiosques pour faire la fête Square Ernest GOÜIN, Kiosque à musique",Cadre de vie
Végétalisation des murs et des rues du 14e arrondissement Végétalisation des murs et des rues du 14e arrondissement / Végétaliser le mur avec fresque du square Alésia-Ridder,Environnement
Végétalisation des murs et des rues du 14e arrondissement Végétalisation des murs et des rues du 14e arrondissement / pose d’un Bac à l’intersection Gauguet/Artiste,Environnement
Végétaliser les trottoirs du 15e Végétaliser les trottoirs du 15ème / 06- plantations devant le 98 rue du Théâtre avec une fontaine Wallace et deux arbustes,Cadre de vie
Des jardins sur les murs Des jardins sur les murs / 75011 - mur végétalisé TEP avenue Philippe Auguste,Environnement
Des jardins sur les murs Des jardins sur les murs / 75014 - mur végétalisé 12 rue Severo,Environnement
Végétaliser les murs et les toits dans le 15e Végétaliser les murs et les toits dans le 15ème / 01 - TEP nivert,Cadre de vie
Les œuvres d'art investissent la rue Vinie,Culture et patrimoine
Les œuvres d'art investissent la rue Fresques murales BEN et Le Gac,Culture et patrimoine
Le bon sens au profit de la sécurité - Axe Villiers / Rome LE BON SENS AU PROFIT DE LA SECURITE,Prévention et sécurité
Redonner vie à la fontaine Pigalle Redonner vie à la fontaine Pigalle,Cadre de vie
Un vélo producteur d'électricité pour la rue Paradol Un vélo producteur d'électricité pour la rue Paradol,Cadre de vie
Plus d’arbres pour la rue Cler Plus d’arbres pour la rue Cler,Cadre de vie
De la danse à l'école des Amandiers et au collège Doisneau De la danse à l'école des Amandiers et au collège Doisneau,Education et jeunesse
Réaménagement des allées du Champ de Mars Allées Champ de Mars,Cadre de vie
Un 12e ouvert sur la culture Salle de théâtre à Aligre,Culture et patrimoine
Embellir le haut du Faubourg Saint-Martin Embellir le haut faubourg Saint-Martin,Environnement
Un quartier plus accueillant pour les aveugles et malvoyants Bandes pododactiles quartier Mouton-DuvernetUn quartier plus accueillant pour les aveugles et malvoyants,Mobilités
Insonorisation d’un réfectoire dans une école Réfectoire école maternelle RUISSEAU,Education et jeunesse
Extension des parcours sportifs et ajout d'agrès fitness dans le Bois de Boulogne parcours sportifs et agrès,Cadre de vie
Rénover les préaux des écoles des quartiers populaires Préau école élémentaire AQUEDUC,Education et jeunesse
Réaménager les espaces sportifs des jardins du 20e Square Lesseps,Sport
Un 12e encore plus végétalisé ! Un 12e encore plus végétalisé ! / Installation de plusieurs jardinières sur la place Edouard Renard entre les deux immeubles (1 à 3 place Edouard Renard),Cadre de vie
De nouveaux espaces ludiques pour les parcs du 19e De nouveaux espaces ludiques pour les parcs du 19e / réaménager la zone de jeux pour les plus grands dans le Parc de la Butte Rouge,Cadre de vie
Des abris pour les personnes sans domicile fixe Appel à projet pour accueil innovant,Solidarités
Jeux et loisirs dans les parcs et squares du 15e Des baby-foot dans les jardins du 15e,Cadre de vie
"En piste, encore plus d'aménagements cyclables En piste, Quai de Valmy",Mobilités
"+ de commerces dans les quartiers populaires Lauréat Coup de Pouce Commerce: CHEZ FOUCHER, MERE & FILLE",Attractivité et emploi
Des ludothèques pour nos écoles maternelles Ludothèque école maternelle Chapon,Education et jeunesse
Des ludothèques pour nos écoles maternelles Ludothèque école polyvalente Saint Martin,Education et jeunesse
Hôtel aux insectes dans les jardins et parcs du 7e Hôtel insectes Jardin de l'Eglise Saint-Jean Denys Bühler,Environnement
Equiper toutes les écoles élémentaires en tableaux numériques Outils numériques école élémentaire CHAPTAL,Education et jeunesse
Des cantines rénovées et insonorisées pour les écoles du 12e Réfectoire école élémentaire CHARLES BAUDELAIRE,Education et jeunesse
Des équipements innovants pour 10 écoles VPI école élémentaire 10 SAINT LAMBERT,Education et jeunesse
+ de commerces dans les quartiers populaires RENOVATION PH - SECTEUR CHARLES HERMITE,Attractivité et emploi
Aménagement d'un parcours sportif sur les grands boulevards du 11e arrondissement Séquence n°7 (Pl. Col Fabien - Pl. Stalingrad),Sport
Sport urbain en liberté Agrès et échecs Sq. Anvers,Sport
Sport urbain en liberté Agrès l'Île aux Cygnes,Sport
Sport urbain en liberté SWO et fitness Prom. A. Rodriguez,Sport
Aménager des espaces sportifs dans les sept quartiers du 20e Fitness Sq. des Amandiers,Sport
Rue aux enfants - Rue des Hospitalières St Gervais (4e),Cadre de vie
Agir en faveur de la vitalité associative des quartiers populaires ! Régie de Quartier - la Fabrique,Solidarités
"Du vert à tous les étages Gymnase Marie Pardies, 5 rue Léon Schwarzenberg 10e",Environnement
"Développer l'aide aux personnes en situation de précarité Rénovation de l'ESI ""Arche d'Avenir",Solidarités
"Développer l'aide aux personnes en situation de précarité Achat d'équipement pour ESI ""Saint Martin""",Solidarités
Agir en faveur de la vitalité associative des quartiers populaires ! Espace JAM,Solidarités
Des jardins sur les murs Des jardins sur les murs / jardinières rue Dalayrac,Environnement
#VillePlusPropre Plus de propreté dans l'espace public / Déploiement d’abri-bacs anti-rats,Propreté
+ de nature en ville + de nature en ville / Ruchers; appel à projets / Cimetière du Père Lachaise,Environnement
Un auvent de protection pour l'école 15 rue des Bauches Un auvent de protection pour l'école 15 rue des Bauches,Education et jeunesse
Rénover le monument de Gavarni place Saint-Georges Rénover le monument de Gavarni place Saint-Georges,Culture et patrimoine
Espoir pour la vie quotidienne au sein du CHRS Charonne Espoir pour la vie quotidienne au sein du CHRS Charonne,Solidarités
Mieux isoler les bâtiments municipaux accueillant les enfants Rénovation énergétique exemplaire de l'école des Vertus,Environnement
Renouvellement des toilettes du parc des Buttes-Chaumont Renouvellement des toilettes du parc des Buttes-Chaumont,Propreté
Poursuivre la végétalisation des rues du 17e arrondissement Avenue de Clichy,Environnement
De nouvelles toilettes publiques à Aligre et à Bercy De nouvelles toilettes publiques à Aligre et à Bercy,Propreté
De nouveaux équipements dans les squares et jardins du 12e De nouveaux équipements dans les squares et jardins du 12e / square Trousseau,Cadre de vie
Cultiver dans les écoles Cultiver dans les écoles / Ecole 1/5,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 4/12,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 9/12,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 10/12,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 6/17,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 3/12,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 23/23,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 18/20,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 17/21,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 19/21,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 9/18,Education et jeunesse
Reconquête urbaine Reconquête urbaine / Passage de l'Ourcq,Cadre de vie
Reconquête urbaine Reconquête urbaine / Rond-point de la Chapelle,Cadre de vie
Embellir les cours des écoles du 18e arrondissement Embellir les cours des écoles du 18e arrondissement / Ecole 5,Education et jeunesse
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 13,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 23,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 55,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 96,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 101,Propreté
Du matériel de nettoiement silencieux et non polluant Du matériel de nettoiement silencieux et non polluant laveuses trottoir électriques 025 2,Propreté
Pour que toutes les écoles du 18e aient des outils numériques innovants FERDINAND FLOCON (3) MAT,Education et jeunesse
Pour que toutes les écoles du 18e aient des outils numériques innovants RICHOMME (18) MAT,Education et jeunesse
Mieux concevoir les lieux de détente au collège Collège George Sand,Education et jeunesse
