Titre de l'opération,Thématique
Cultiver dans les écoles / Ecole 13/30,Education et jeunesse
Cultiver dans les écoles / Ecole 18/30,Education et jeunesse
Cultiver dans les écoles / Ecole 27/30,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement / Ecole 8,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement / Ecole 29,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement / Ecole 46,Education et jeunesse
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 15,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 46,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 47,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 79,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 84,Propreté
Du matériel de nettoiement silencieux et non polluant débroussailleuses électriques 023 17,Propreté
Du matériel de nettoiement silencieux et non polluant Tricycles électriques 026 3,Propreté
FOYATIER (1) ELEM,Education et jeunesse
GUSTAVE ROUANET (1) MAT,Education et jeunesse
MAURICE GENEVOIX (3) POLY,Education et jeunesse
RUISSEAU (6) MAT,Education et jeunesse
Viaduc des Arts- équipement ludiques,Cadre de vie
Bibliothèque François Villon,Culture et patrimoine
De nouveaux espaces ludiques pour les parcs du 19e / Réaménager les aires de jeux Fressart et Crimée des Buttes Chaumont,Cadre de vie
Rénovation les toilettes de l'Ecole élémentaire Glaciere,Education et jeunesse
Une ville plus propre et plus équipée / Achat de petits matériels de propreté  (pour la DPE),Propreté
Frigos solidaires,Solidarités
Cour Oasis - Ecole Levassor,Education et jeunesse
Ecole élémentaire Torcy,Education et jeunesse
Ecole polyvalente Pierre Foncin,Education et jeunesse
#Musiquepourtous Paris Anim',Culture et patrimoine
Des espaces ludiques dans toutes les écoles du XXème,Education et jeunesse
Des espaces ludiques dans toutes les écoles du XXème,Education et jeunesse
Des espaces ludiques dans toutes les écoles du XXème,Education et jeunesse
Equiper les écoles du 14ème-EP de l'Ouest,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs A,Education et jeunesse
Des tables de tri des déchets dans les cantines scolaires,Education et jeunesse
+ de nature en ville / 14 - Aménagement d'un pollinarium,Environnement
Des chaussées rénovées ! - Boulevard de l'Hôpital,Cadre de vie
Pour une meilleure cohabitation piétons/automobilistes. Entrée de l'Avenue d'Ivry en provenance du boulevard Masséna.,Prévention et sécurité
Composteur Jules Verne 11ème,Propreté
Cendriers sondage,Propreté
Cendriers sondage,Propreté
Cendriers sondage,Propreté
Cultiver dans la crèche l'Epée des Bois,Environnement
Cultiver dans la crèche Tour d'auvergne,Environnement
Cultiver dans la crèche Charenton,Environnement
Cultiver dans la crèche Dunois,Environnement
Cultiver au jardin Italie,Environnement
Cultiver dans la crèche Léon Bollée,Environnement
Cultiver à la halte-garderie Porte de Vanves / Maurice Nogues,Environnement
Cultiver dans la crèche Morillons,Environnement
Cultiver dans la crèche Convention,Environnement
Cultiver dans la crèche Kosma,Environnement
Saveurs en partage,Solidarités
,Cadre de vie
Emmaüs Défi,Solidarités
TEP LUQUET,Sport
Jeu d'échec géant,Solidarités
Cultiver en ville / Subvention Elogie Siemp pour l’adaptation du site Parisculteurs 3 Parking Pelleport – Rigoles 20e,Environnement
+ de nature en ville / 04-Mares et espaces de biodiversité/ Square Georges Cain,Environnement
+ de nature en ville / 03-Mare Parc André Citroën,Environnement
Composteur collectif,Propreté
Harmoniser les grilles du square du temple - Elie Wiesel / poursuite de la rénovation des grilles du square,Cadre de vie
"L’escalade à l’école, pour les élèves et leurs parents",Sport
"Insonorisation, embellissement réfectoires écoles EM Paul Dubois",Education et jeunesse
Rénovation local activités personnes âgées Grand Belleville,Solidarités
Piscine Jean Boiteux,Sport
Une voirie pour toutes les mobilités / Rivoli entre Saint Denis et Bourdonnais,Mobilités
Des kits d'économies d’énergie pour les foyers parisiens,Solidarités
Terrains de pétanque Bastille,Sport
"F- SUIV 002280 - Améliorons l’environnement des usages du bois de Vincennes / 08 - Rénover les cheminements en broyat, notamment  le long des rivières",Environnement
Boîte à livres Square Claude Bernard,Culture et patrimoine
Action 1 : installation de panneaux solaires - école Maryse Hilsz (20e),Environnement
Potelets colorés - la Chapelle,Cadre de vie
Habillage de potelets rue de saussure,Culture et patrimoine
Fresque rue Christine Pisan,Culture et patrimoine
Ecole Compans Brunet,Education et jeunesse
Petits déjeuners Porte de la Chapelle,Solidarités
Collège A. Franck,Education et jeunesse
Expérimentation qualité de l'air - Ecole Claude Vellefaux,Education et jeunesse
Tableaux interactifs pour l'école polyvalente,Education et jeunesse
Des toilettes neuves pour toutes les écoles EE Ourcq A,Education et jeunesse
Espaces Ludiques dans les écoles du 16e,Education et jeunesse
"Des ordis, pas des tablettes, pour les écoles du 12eme",Education et jeunesse
Equipement de jeux de cour dans les cours d'école,Education et jeunesse
Equipement de jeux de cour dans les cours d'école,Education et jeunesse
Equipement de jeux de cour dans les cours d'école,Education et jeunesse
"Des ordis, pas des tablettes, pour les écoles du 12eme",Education et jeunesse
SAFIA GOLDEN FRIED CHICKEN,Attractivité et emploi
Ressourcerie hors les murs de la ressourcerie des Batignolles,Environnement
Densification des points Amistocks du 17e par Emmaüs Défi,Environnement
M OPTIC,Attractivité et emploi
ALIMENTATION GENERALE,Attractivité et emploi
LE CURIAL,Attractivité et emploi
Espaces Ludiques dans les écoles du 16e,Education et jeunesse
De nouvelles rues intelligentes dans le 15e - marquage Flowell,Environnement
Couverture du TEP Dunois,Sport
EM BOY ZELENSKI,Education et jeunesse
"Des ordis, pas des tablettes, pour les écoles du 12eme",Education et jeunesse
Installation de tables de tri sélectif des déchets dans les réfectoires des cantines scolaires,Environnement
Basket 3*3 au TEP Serrurier,Sport
Des cours pour vivre ensemble - EM Carnot,Education et jeunesse
Un véhicule frigorifique pour l'epicerie sociale solidaya,Solidarités
Réfection - rue des Pyrénées,Cadre de vie
Revitalisation commerciale du boulevard de Strasbourg et son quartier,Attractivité et emploi
Création d'une bibliothèque d'objets en réseau dans le 11e par l'association Zézenne,Solidarités
Collège R. Queneau - Rénovation de la cour,Education et jeunesse
02 - Eclairage public à détecteur de mouvement,Environnement
02 - Cultures sur la terrasse du bâtiment du 100 Établissement Culturel Solidaire,Environnement
EM Archereau - Rénovation des sanitaires,Education et jeunesse
Kiosque à musique sur le mail Binet,Solidarités
EE Bruxelles,Education et jeunesse
EM de la Grange Batelière,Education et jeunesse
Des outils numériques dans les écoles primaires du 11 / EE Froment,Education et jeunesse
Des outils numériques dans les écoles primaires du 11 / EE G. Cavaignac,Education et jeunesse
La Médiathèque Musicale de Paris de demain,Culture et patrimoine
Des cours oasis- EE Bercy,Education et jeunesse
EM Legouvé,Education et jeunesse
TEP de la Goutte d'or des couleurs vives - Goutte d'Or,Cadre de vie
Bornes rétractables,Mobilités
EM Traversière,Education et jeunesse
Réinventons la cantine des Ecoles Eblé et Duquesne,Education et jeunesse
Un camion pour Les Marmoulins de Ménil’,Solidarités
Rénover le gymnase Jean Jaurès,Sport
Ilôt piéton Bd Haussmann,Prévention et sécurité
Implantation d’arceaux pour le stationnement des vélos-cargos et triporteurs.,Cadre de vie
Rendre la place passage Championnet plus accueillante / végétalisation en pot,Cadre de vie
02 - Fontaines Wallace et brumisateurs,Cadre de vie
Vestiaire solidaire,Solidarités
Des aménagements pour le jardin du Chalet,Environnement
Ecole Kellner - Rénovation du Préau,Education et jeunesse
Création d'une bibliothèque d'école à la Maternelle du Parc des Princes,Education et jeunesse
Couverture du city stade Didot,Sport
Bibliothèque Maurice Genevoix,Culture et patrimoine
Etude diagnostic acoustique du quartier Porte Saint-Denis/Paradis,Santé
Couverture du TEP Croix Nivert,Sport
Club house à Max Rousié,Sport
01-Repenser le square Louis Majorelle,Environnement
Des espaces de jeux inclusifs pour l'EM A.Del Sartre,Education et jeunesse
Des quartiers handi-accueillants / Sonorisation des traversées piétonnes,Solidarités
rénovation réfectoire de l'EM du Mont Cenis,Education et jeunesse
08-Végétalisation du passage de Thionville,Cadre de vie
Crèche municipale Mendelssohn,Education et jeunesse
Amélioration des agrès Bartholomé,Sport
Arès Atelier - Réaménager l'entrepôt logistique pour y développer les prestations d’économie circulaire et accueillir nouveaux publics,Attractivité et emploi
Sécurisation des traversées piétonnes rue de Courcelles,Mobilités
Gymnase Archereau,Education et jeunesse
salle de tennis de table : un nouveau filet de séparation,Sport
Pour la cyclo-logistique des bio-déchets et du compost,Environnement
Rénover les écoles du 20e / EE Riblette - Sanitaires,Education et jeunesse
02-Aires de jeux extraordinaires pour les enfants Parisiens,Education et jeunesse
Fresques collaboratives,Culture et patrimoine
Aménager la Grande Conserverie de Paris Conserverie d'insertion antigaspillage et solidaire,Solidarités
Lutter contre le réchauffement climatique - Des toits blancs à Paris,Environnement
Création d'un jardin partagé dans le quartier des Hauts de Malesherbes,Cadre de vie
Piétonnisation de la rue Saint-Jean,Prévention et sécurité
Refuges piétons avenue de Villiers et boulevard de Courcelles,Prévention et sécurité
Fermeture à la circulation rue des Coutures-Saint-Gervais,Cadre de vie
Jardin partagé dans le quartier de l'Horloge,Cadre de vie
Faciliter les déplacements piétons rue de la Folie-Méricourt,Cadre de vie
Rénover le quartier Amiraux - Simplon - Poissonniers,Cadre de vie
Création d'une zone de rencontre et végétalisation de la rue des Envierges,Cadre de vie
Des fontaines à boire dans tout Paris,Cadre de vie
Reconquête urbaine / Porte de la Villette,Cadre de vie
"Aménagement trottoirs, rue des Batignolles (pair) et rue des Dames (pair)",Prévention et sécurité
Une super halle alimentaire dans le 14 ème,Solidarités
Du vert à Mouffetard : végétalisation du Square Vermenouze,Cadre de vie
Espaces de travail publics - Onzième Lieu,Education et jeunesse
Relier les parcs André Citroën et Georges Brassens à vélo,Mobilités
Conquête végétale du 10ème arrondissement / Planter des roses trémières sur les 3 voutes enjambant les voies ferrées de la gare de l’Est,Environnement
Embellir et redonner couleurs et vie au Bas Belleville,Cadre de vie
"Pour un arrondissement « treize » accessible aux personnes handicapées, à mobilité réduite",Mobilités
Aménagement de la placette Garonne-Mille-Tailleferre,Cadre de vie
Square Saint-Eloi,Environnement
+ de nature en ville / 04-Mares et espaces de biodiversité,Environnement
Bureau DJS - toit 2- 25 boulevard Bourdon 4e,Environnement
TEP et EM Philippe-Auguste - Alexandre Dumas -toit 1 - 68 avenue Philippe Auguste - 39 rue Alexandre Dumas 11e,Environnement
"CS Jules Noel - toit 2 - 3,avenue Maurice d'Ocagne 14e",Environnement
Ecole polyvalente Gros -18 rue Gros 16e,Environnement
"Square Ernest GOÜIN, Kiosque à musique",Cadre de vie
Végétalisation des murs et des rues du 14e arrondissement / Végétaliser le mur avec fresque du square Alésia-Ridder,Environnement
Végétalisation des murs et des rues du 14e arrondissement / pose d’un Bac à l’intersection Gauguet/Artiste,Environnement
Végétaliser les trottoirs du 15ème / 06- plantations devant le 98 rue du Théâtre avec une fontaine Wallace et deux arbustes,Cadre de vie
Des jardins sur les murs / 75011 - mur végétalisé TEP avenue Philippe Auguste,Environnement
Des jardins sur les murs / 75014 - mur végétalisé 12 rue Severo,Environnement
Végétaliser les murs et les toits dans le 15ème / 01 - TEP nivert,Cadre de vie
Vinie,Culture et patrimoine
Fresques murales BEN et Le Gac,Culture et patrimoine
LE BON SENS AU PROFIT DE LA SECURITE,Prévention et sécurité
Redonner vie à la fontaine Pigalle,Cadre de vie
Un vélo producteur d'électricité pour la rue Paradol,Cadre de vie
Plus d’arbres pour la rue Cler,Cadre de vie
De la danse à l'école des Amandiers et au collège Doisneau,Education et jeunesse
Allées Champ de Mars,Cadre de vie
Salle de théâtre à Aligre,Culture et patrimoine
Embellir le haut faubourg Saint-Martin,Environnement
Bandes pododactiles quartier Mouton-DuvernetUn quartier plus accueillant pour les aveugles et malvoyants,Mobilités
Réfectoire école maternelle RUISSEAU,Education et jeunesse
parcours sportifs et agrès,Cadre de vie
Préau école élémentaire AQUEDUC,Education et jeunesse
Square Lesseps,Sport
Un 12e encore plus végétalisé ! / Installation de plusieurs jardinières sur la place Edouard Renard entre les deux immeubles (1 à 3 place Edouard Renard),Cadre de vie
De nouveaux espaces ludiques pour les parcs du 19e / réaménager la zone de jeux pour les plus grands dans le Parc de la Butte Rouge,Cadre de vie
Appel à projet pour accueil innovant,Solidarités
Des baby-foot dans les jardins du 15e,Cadre de vie
"En piste, Quai de Valmy",Mobilités
"Lauréat Coup de Pouce Commerce: CHEZ FOUCHER, MERE & FILLE",Attractivité et emploi
Ludothèque école maternelle Chapon,Education et jeunesse
Ludothèque école polyvalente Saint Martin,Education et jeunesse
Hôtel insectes Jardin de l'Eglise Saint-Jean Denys Bühler,Environnement
Outils numériques école élémentaire CHAPTAL,Education et jeunesse
Réfectoire école élémentaire CHARLES BAUDELAIRE,Education et jeunesse
VPI école élémentaire 10 SAINT LAMBERT,Education et jeunesse
RENOVATION PH - SECTEUR CHARLES HERMITE,Attractivité et emploi
Séquence n°7 (Pl. Col Fabien - Pl. Stalingrad),Sport
Agrès et échecs Sq. Anvers,Sport
Agrès l'Île aux Cygnes,Sport
SWO et fitness Prom. A. Rodriguez,Sport
Fitness Sq. des Amandiers,Sport
Rue aux enfants - Rue des Hospitalières St Gervais (4e),Cadre de vie
Régie de Quartier - la Fabrique,Solidarités
"Gymnase Marie Pardies, 5 rue Léon Schwarzenberg 10e",Environnement
"Rénovation de l'ESI ""Arche d'Avenir",Solidarités
"Achat d'équipement pour ESI ""Saint Martin""",Solidarités
Espace JAM,Solidarités
Des jardins sur les murs / jardinières rue Dalayrac,Environnement
Plus de propreté dans l'espace public / Déploiement d’abri-bacs anti-rats,Propreté
+ de nature en ville / Ruchers; appel à projets / Cimetière du Père Lachaise,Environnement
Un auvent de protection pour l'école 15 rue des Bauches,Education et jeunesse
Rénover le monument de Gavarni place Saint-Georges,Culture et patrimoine
Espoir pour la vie quotidienne au sein du CHRS Charonne,Solidarités
Rénovation énergétique exemplaire de l'école des Vertus,Environnement
Renouvellement des toilettes du parc des Buttes-Chaumont,Propreté
Avenue de Clichy,Environnement
De nouvelles toilettes publiques à Aligre et à Bercy,Propreté
De nouveaux équipements dans les squares et jardins du 12e / square Trousseau,Cadre de vie
Cultiver dans les écoles / Ecole 1/5,Education et jeunesse
Cultiver dans les écoles / Ecole 4/12,Education et jeunesse
Cultiver dans les écoles / Ecole 9/12,Education et jeunesse
Cultiver dans les écoles / Ecole 10/12,Education et jeunesse
Cultiver dans les écoles / Ecole 6/17,Education et jeunesse
Cultiver dans les écoles / Ecole 3/12,Education et jeunesse
Cultiver dans les écoles / Ecole 23/23,Education et jeunesse
Cultiver dans les écoles / Ecole 18/20,Education et jeunesse
Cultiver dans les écoles / Ecole 17/21,Education et jeunesse
Cultiver dans les écoles / Ecole 19/21,Education et jeunesse
Cultiver dans les écoles / Ecole 9/18,Education et jeunesse
Reconquête urbaine / Passage de l'Ourcq,Cadre de vie
Reconquête urbaine / Rond-point de la Chapelle,Cadre de vie
Embellir les cours des écoles du 18e arrondissement / Ecole 5,Education et jeunesse
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 13,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 23,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 55,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 96,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 101,Propreté
Du matériel de nettoiement silencieux et non polluant laveuses trottoir électriques 025 2,Propreté
FERDINAND FLOCON (3) MAT,Education et jeunesse
RICHOMME (18) MAT,Education et jeunesse
Collège George Sand,Education et jeunesse
Rénovation les toilettes de l'Ecole maternelle ricaut,Education et jeunesse
groupe scolaire rue saint-bernard,Education et jeunesse
Toilettes Groupe scolaire Louis Blanc,Education et jeunesse
"Des jardins sur les murs / 72, rue Damrémont",Environnement
Réaménagement de l'atelier de tri Textile CDLV,Solidarités
Déconnexion des eaux pluviales - Plan Pluie à Paris,Environnement
Pour une gestion de l'eau améliorée ! / 054 - Amélioration de la gestion de l'eau dans les jardins / Jardin du Trocadéro,Environnement
Du vert à tous les étages / 15ème - toit école Lacordaire,Environnement
Des espaces ludiques dans toutes les écoles du XXème,Education et jeunesse
Des espaces ludiques dans toutes les écoles du XXème,Education et jeunesse
Des espaces ludiques dans toutes les écoles du XXème,Education et jeunesse
Des espaces ludiques dans toutes les écoles du XXème,Education et jeunesse
Equiper les écoles du 14ème -EM H.Maindron,Education et jeunesse
Equiper les écoles du 14ème -EM Ocagne,Education et jeunesse
Equiper les écoles du 14ème-EM Sarrette,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
La boite à jouer,Education et jeunesse
POISSONERIE CHATEAU ROUGE,Attractivité et emploi
LE GRAND JEU,Attractivité et emploi
Cendriers sondage,Propreté
Cultiver dans la halte garderie Pierre Nicole,Environnement
Cultiver dans la crèche Delessert,Environnement
Cultiver dans la crèche Folie Regnault,Environnement
Cultiver dans la crèche Jean Dolent,Environnement
+ de nature en ville / Supports végétalisés pour chaque mairie d‘arrdt,Environnement
Démocratie locale et Participative du 15ème,Solidarités
Emmaüs Solidarité CHU Jourdan,Solidarités
+ de nature en ville / Acquisition de cabanes à chat et matériels (Chats d’Oc),Environnement
+ de nature en ville / Matériel pour le dispensaire vétérinaire (Vet Dispensair ),Environnement
Composteur collectif square Colbert,Environnement
Ferme Urbaine la REcyclerie,Environnement
#SousLesPavésDesFleurs / Mares et espaces de biodiversité dans les QP / Inventaire naturalistes BIOTOPE (en QP),Environnement
"+ de nature en ville / 04-Mares et espaces de biodiversité/ Bois de Vincennes, jeu de boules Saint Mandé",Environnement
#SousLesPavésDesFleurs / Mares et espaces de biodiversité dans les QP / Square Maurice Gardette,Environnement
F- SUIV 001423 - RESTAURATION DES ROCAILLES DU SQUARE LEGALL / enveloppe complémentaire phase 1 + phase 2,Environnement
Embellissement du Pavillon Carré de Baudouin,Culture et patrimoine
Installer un conteneur à verre enterré,Propreté
galerie des Ateliers Beaux Arts,Culture et patrimoine
Des places supplémentaires pour les deux-roues dans le 11e,Mobilités
Mur et toits végétalisés école Alésia,Environnement
Rénovation des statues des squares place Denfert,Culture et patrimoine
Art dans la ville - fresques dans les écoles,Culture et patrimoine
Art dans la ville - fresques dans les écoles,Culture et patrimoine
Collectif 4C Quartier libre - Café Culture Cuisine (18e Goutte d'Or),Solidarités
+ de nature en ville / 04-Mares et espaces de biodiversité / 01 Signalétique,Environnement
Action 1 : installation de panneaux solaires - école Picpus (12e),Environnement
Pour une gestion de l'eau améliorée ! / 051 - Amélioration de la gestion de l'eau dans les jardins / divers jardins,Environnement
Jeux d'extérieurs adaptés aux enfants en situation de handicap dans les jardins,Solidarités
Essaimage des repair café à Paris (3/10),Solidarités
Restaurant solidaire de la Villette - SAS Croixement pour Tous,Solidarités
Des cantines plus agréables EE  Levassor,Education et jeunesse
Le plaisir de lire dans l' EM Rouvier,Education et jeunesse
Collège Georges Rouault,Education et jeunesse
végétalisation de 2 pieds d'arbres,Environnement
Ecole primaire Balanchine,Education et jeunesse
"Insonorisation, embellissement réfectoires écoles EE Béranger",Education et jeunesse
Des boîtes à jouer et des ludothèques dans les écoles des quartiers populaires,Education et jeunesse
Des toilettes neuves pour toutes les écoles !EE Brunet/Compans,Education et jeunesse
Acquisition d’un parc d’instruments pour les Petits Riens,Culture et patrimoine
Espaces Ludiques dans les écoles du 16e,Education et jeunesse
Espaces Ludiques dans les écoles du 16e,Education et jeunesse
"Des ordis, pas des tablettes, pour les écoles du 12eme",Education et jeunesse
Equipement de jeux de cour dans les cours d'école,Education et jeunesse
"Siège de la Fédération Envie - Envie, le Labo",Attractivité et emploi
LE COURT CIRCUIT,Attractivité et emploi
"Des ordis, pas des tablettes, pour les écoles du 12eme",Education et jeunesse
D- SUIV 002785 - #SousLesPavésDesFleurs / Du gazon sur les trottoirs  / Debitumage 29 rue Deparcieux,Environnement
Installation de tables de tri sélectif des déchets dans les réfectoires des cantines scolaires,Environnement
Vélos à destination de femmes en situation de précarité,Solidarités
Rénovation de la cour du CPA Rébeval,Education et jeunesse
Étude sur les particules ultrafines,Environnement
EE Arbalète - Tableaux numériques,Education et jeunesse
"Collège Octave Gréard - Le biathlon, laser run",Sport
Mobilier - rue volga grands champs,Cadre de vie
07 - Implantation d’assises et de poubelles (Rue Annie Girardot et Avenue d’Italie),Environnement
Des cours pour vivre ensemble - EE (B) et (A)  Lamoricière,Education et jeunesse
EE Pereire - Restauration du auvent,Education et jeunesse
Des murs végétalisés pour la résidence  Caulaincourt,Environnement
Les enfants au cœur de l'espace public,Education et jeunesse
Machines à laver et sèches linges,Solidarités
Des outils numériques dans les écoles primaires du 11 / EE Keller,Education et jeunesse
Création d'aires sportives PMR et Séniors,Sport
Renouvellement de la fresque murale rue Maurice Ripoche,Culture et patrimoine
Aménager l'espace culturel de La Sirène de Paris,Culture et patrimoine
Construction d'un local partagé intergénérationnel au square Frida Khalo/Quartier Fougères-le-Vau,Solidarités
Réaménagement de la Pointe de l'Eglise Saint-Eustache pour distribution alimentaire,Solidarités
Aménagement local dédié aux artisans réparateurs,Solidarités
Des cours oasis- EE Charenton,Education et jeunesse
Mise en lumière écluse de flandre,Cadre de vie
EM Parmentier,Education et jeunesse
EM Recollets,Education et jeunesse
Restaurer les statues et le mobilier,Culture et patrimoine
Un éco-lieu pour le 10e : espace de Fab Lab et de consommation responsable,Attractivité et emploi
Optimisation du jardin pédagogique partagé,Cadre de vie
Rénovation des classes de l'EM des Meuniers,Education et jeunesse
Un nouvel espace associatif innovant au cœur du 13ème,Solidarités
Les enfants embellissent leur école maternelle Mouffetard !,Education et jeunesse
"Une récréation écologique, sportive et source d’inspiration EE Buffon",Education et jeunesse
Des vidéoprojecteurs interactifs pour l'EE rue Madame,Education et jeunesse
Nouveau mobilier à la cantine EM R.Lenoir,Education et jeunesse
Sécurisation du carrefour rue Saint Amand,Cadre de vie
Création d'un parcours sécurisé podotactile pour déficients visuels,Cadre de vie
Rénovation du club house du CA PARIS 14,Solidarités
Un auvent pour la cour de l'EE de la Brèche aux Loups,Education et jeunesse
Accessibilité dans le 14e-EM 23 Boulard,Education et jeunesse
Rénover l'EM  Saussure,Education et jeunesse
Parcours physique / Parc de Bercy,Culture et patrimoine
rendre agréable la toiture de la terrasse de la médiathèque Hélène Berr,Culture et patrimoine
03 - Capteurs environnementaux,Cadre de vie
Réaménagement et équipements numériques local ASI,Solidarités
De nouveaux stationnements deux roues Boulevard Raspail,Environnement
Protéger les piétons aux sorties du parc Montsouris,Environnement
Un jardin de l'observatoire valorisé,Environnement
Réaménager la Coulée Verte Pereire,Environnement
Sauver l'auditorium du square Saint Lambert,Environnement
Réalisation d'une fresque aux abords de la place de l'Europe,Cadre de vie
EE 51 Charenton,Education et jeunesse
Fashion Green Hub Grand Paris,Solidarités
Agrandissement du TEP Sainte-Hélène,Sport
Equiper en vélos cargos l'association de secourisme,Solidarités
Réaménager et équiper les espaces verts et jardins du 7ème,Cadre de vie
Une oasis de fraicheur pour les petits jardiniers d'Humbert,Education et jeunesse
Crèche municipale Pixérécourt,Education et jeunesse
03-Création de passages piétons rue Amelot,Cadre de vie
Réaménagement du local de l'association Rungis Brillat Peupliers (ARBP),Solidarités
Rénover le stade Ladoumègue pour améliorer la pratique sportive,Sport
travaux d'étancheité,Culture et patrimoine
04-Sécuriser la rue Legendre,Cadre de vie
"Cours Oasis - EE 3, rue d'Alésia",Education et jeunesse
Un local de rangement fermé pour favoriser le sport inclusif dans le 11e !,Solidarités
Cour Oasis - EE de la Victoire,Education et jeunesse
nettoyage façade Ste jeanne d'arc,Culture et patrimoine
02-Aplanir et refaire la pelouse du parc Titon,Environnement
Des cantines moins bruyantes EE 315 Charenton,Education et jeunesse
Du matériel audiovisuel et numérique pour les femmes exilées et marginalisées dans le 18e (Famille France Humanité),Solidarités
10-Pour des espaces verts rénovés - Peinture des grilles du jardin de la Gare de Charonne,Cadre de vie
cour oasis Collège G.Sand,Education et jeunesse
Crèche municipale Gambetta Tourelles,Education et jeunesse
Permettre à d’anciens sans abri en situation de handicap d’aménager des colocations solidaires,Solidarités
Réhabiliter le local du CSBV au 26 rue Rebeval,Solidarités
Couverture du TEP Alphonse Allais,Sport
Boîte n°6 - Des boîtes à livres pour le 10e arr.,Solidarités
Boîte n°10 - Des boîtes à livres pour le 10e arr.,Solidarités
Cyclocare - Démocratisation de l'utilisation du vélo sur les trajets domicile-travail des salariés d'entreprises,Solidarités
03 - Modernisation et végétalisation Cour EE Agnès Varda - 46 rue boulard,Environnement
01-Aires de jeux adaptées aux différents handicaps,Education et jeunesse
Réaménagement du préau et réfectoire de l'école maternelle Saint Germain l'Auxerrois,Education et jeunesse
Rénover la cour et le jardin de la mairie du 8e arrondissement,Environnement
Rénovation de la structure de l'église,Culture et patrimoine
Centre sportif Charles Rigoulot,Sport
Equiper la bibliothèque Andrée Chedid,Culture et patrimoine
01 -  Restauration de la Maison du jardinage,Environnement
Embellir les abords de la bibliothèque Rainer Maria Rilke,Cadre de vie
Equiper toutes les écoles des quartiers prioritaires du 10e de Tableaux Numériques Interactifs (TNI)/EM Aqueduc,Education et jeunesse
Equiper toutes les écoles des quartiers prioritaires du 10e de Tableaux Numériques Interactifs (TNI)/EM Louis Blanc,Education et jeunesse
Plus de cours oasis et rafraichies / Ecole Jacquier,Education et jeunesse
Nos écoles s’adaptent au réchauffement climatique /EP 141 Bd Mac Donald,Education et jeunesse
Rénover les écoles du 20e / Moderniser les commandes de chauffage,Education et jeunesse
Rénover les écoles du 20e / EE Tlemcen - Sanitaires,Education et jeunesse
Restauration de la statue d’Eugène Flachat,Culture et patrimoine
03 - Aménagement d’un espace canin dans le square Pablo Casals,Cadre de vie
Espace d'animation bibliothèque Parmentier,Culture et patrimoine
Soutien à l'école des chiens Guides de Paris,Solidarités
Financer des outils pour les Repairs Cafés de la Récolte Citadine,Solidarités
"L’Autoc’Art, un outil pour la démocratisation de la pratique artistique pour tous",Education et jeunesse
GRC et GRT Jouffroy d'Abbans,Cadre de vie
Végétalisation du toit du stade Porte d'Asnières,Environnement
Des jardins partagés au cœur des logements sociaux,Environnement
Réaménager des abris bois existants dans le parc des Buttes-Chaumont,Environnement
Végétalisation d'un mur rue au Maire / rue Beaubourg,Cadre de vie
Salle de sport écoles SAINT JACQUES,Sport
Création d'un jardin partagé (20 rue Ortolan 75020),Environnement
Création d’une trame verte / Rénovation du square Adolphe Chérioux,Cadre de vie
Un mur végétalisé et des jardinières rue du Commerce,Environnement
Rénovation de l'aire de jeux des jardins du Trocadéro,Education et jeunesse
Aménagement artistique et végétalisé de l'avenue Daumesnil,Cadre de vie
Une halle alimentaire pour le 10e,Solidarités
Fresque square Jean Leclaire,Solidarités
Aménagement du passage Jean-Nicot,Cadre de vie
Jardin pédagogique sur le Champ de Mars,Environnement
Victor Hugo écrit sur nos murs,Culture et patrimoine
Végétaliser la rue Gay Lussac,Cadre de vie
instruments CMA centre,Culture et patrimoine
Réaliser une nouvelle coulée verte au quartier Beaugrenelle,Environnement
Mise à double sens de la rue Oberkampf pour les vélos,Mobilités
Beau Boulevard de Belleville,Cadre de vie
Petits et grands : le 19ème plus accessible à vélo,Cadre de vie
Pour une meilleur cohabitation piéton - automobiliste,Prévention et sécurité
Square de la Marseillaise,Environnement
Jardin partagé - Parc Sainte-Périne (16ème),Environnement
"Square Violet, Kiosque à musique",Cadre de vie
"Square de la place du Commerce, Kiosque à musique",Cadre de vie
"Square des Epinettes, Kiosque à musique",Cadre de vie
Des jardins sur les murs / 75020 - mur végétalisé rue sumerlin,Environnement
